,VX3209-2K,LC27R500FHC,S27E390H,322M8CZ,C27T550FDC,328C7QJSG,VA326H,C27R500FHC,EW3270ZL,C32F397FWE,328M6FJMB,278E9QHSB,276E9QHSW,AG322FCX1
廠商,ViewSonic,Samsung,Samsung,Philips,Samsung,Philips,Asus,Samsung,BenQ,Samsung,Philips,Philips,Philips,AOC
吋數,32,27,27,32,27,32,32,27,32,32,32,27,27,32
比例,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9
面板,IPS,VA,PLS,VA,VA,MVA,VA,VA,VA,VA,MVA,VA,IPS,VA
類型,平面,曲面,平面,曲面,曲面,曲面,曲面,曲面,平面,曲面,曲面,曲面,平面,平面
弧度,NA,1800R,NA,1500R,1000R,1800R,1800R,1800R,NA,1800R,1800R,1800R,NA,NA
解析度,2560 X 1440,1920 X1080,1920 X1080,1920 X1080,1920 X1080,1920 X1080,1920 X1080,1920 X1080,2560 X 1440,1920 X1080,2560 X 1440,1920 X1080,1920 X1080,1920 X1080
色彩深度 bit,8,8,8,8,8,8,8,8,NA,8,8,8,8,8
亮度 cd/m² (Typ.),250 ,250 ,300 ,250 ,250 ,250 ,300 ,250 ,300 ,250 ,300 ,250 ,250 ,250 
對比度,1200 :1 (Typ.),3000 :1 (Typ.),1000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),3000 :1 (Typ.),1000 :1 (Typ.),3000 :1 (Typ.)
可視角度(H),178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°
可視角度(V),178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°,178°
反應時間GTG ms,8,4,4,1(MPRT),4,4,4,4,4,4,4,4,5,1(MPRT)
頻率(V)Hz,60,60,60,165(DP),60,144,144,60,60,60,144,75,75,144
HDMI,1.4X1,1.4X1,1.4X1,1.4X2,1.4X1,?X1,1.4X1,1.4X1,1.4X2,?X1,1.4X1,?X1,?X1,1.4X2
DP,1.2a,NA,NA,1.2X1,1.2X1,1.2X1,NA,NA,1.2X1,?X1,1.2X2,NA,NA,1.2X1
VGA(D-sub),X1,X1,X1,X1,X1,X1,X1,X1,NA,X1,X1,X1,X1,X1
DVI,NA,NA,NA,NA,NA,X1,X1,NA,NA,NA,NA,NA,NA,NA
價格,5800,4999,5000,6000/5500,4800,5500,5800/5500/4999,4988,6500,5500/5000/4200/4500,7500,3000,4000,4100
